nama|kota
Apotek Fiar Farma|SURABAYA
Apotek Balong|PONOROGO
Apotek Veteran Medika|MAKASSAR
Apotek Kimia Farma 11 Supratman|BANDUNG
Apotek Roxy Baru|JAKARTA PUSAT
Apotek Pace|NGANJUK
Apotek Slogohimo Farma|WONOGIRI
Apotek Simpang Jawo|JAMBI
Apotek Depo Farmasi Child Health Care|JAKARTA BARAT
Apotek Tazkia Farma|KARAWANG
Apotek Xavier Farma|JAKARTA BARAT
Apotek Puspasari|TASIKMALAYA
Apotek Pandan Farma|KARANGANYAR
Apotek Triningsih|MAGELANG
Apotek Anugrah Putra|SURAKARTA
Apotek Galaxi Group 24|JEMBER
Apotek Mega Rizki|SAMARINDA
Apotek Gading Farma|PRINGSEWU
Apotek Semanding|MALANG
Apotek Yuan Farma|TARAKAN
Apotek Elok|CIREBON
Apotek Singkut Farma|SAROLANGUN
Apotek Keenan Farma|BEKASI
Apotek Generik Pondok Kacang Timur 2|TANGERANG SELATAN
Apotek Lumajang|LUMAJANG
Apotek Tegal Cabe|CILEGON
Apotek Sinta Indira|SEMARANG
Apotek K 24 Pancoran Mas|DEPOK
Apotek Nilam|PIDIE
Apotek Safari Medika|DEPOK
Apotek Aqsho|BEKASI
Apotek Pangandaran|
Apotek Telukjambe|KARAWANG
Apotek Kurnia 1|TASIKMALAYA
Apotek Rakyat Dita|SORONG
Apotek Guardian Hero Blok M Plaza|JAKARTA SELATAN
Apotek Yusuf Farma|PURWOREJO
Apotek Jirana Farma|GOWA
Apotek Generik Serdang Baru|JAKARTA PUSAT
Apotek Roma Medica|MINAHASA
Apotek Generik Kurma|BEKASI
Apotek Andros|PALOPO
Apotek Cosway Pharma|BOGOR
Apotek Nindys Farma|BLITAR
Apotek Lawu Farma|KARANGANYAR
Apotek Amelia|BATAM
Apotek Aisyah|LANGKAT
Apotek Viva Generik Sompok|SEMARANG
Apotek Wisnu Farma 2|TULUNGAGUNG
Apotek Temboro|MAGETAN
Apotek Roi Farma|BEKASI
Apotek Kerta Mustika|BANDUNG
Apotek Cepat Sehat|SUKOHARJO
Apotek K24 Satelit Mutiara Gading 3|BEKASI
Apotek Generik Gandaria Pekayon|JAKARTA TIMUR
Apotek Naswa Farma|KLATEN
Apotek Novi Farma|MADIUN
Apotek Gama Sari|MALANG
Apotek Enola Farma|KUTAI TIMUR
Apotek Pelengkap Kopr Rs. Cibinong|BOGOR
Apotek M E D I S|SURABAYA
Apotek Star Farma|SURABAYA
Apotek Sidra|GORONTALO
Apotek Century Health Care (Wtc)|JAMBI
Apotek Kimia Farma 12|BANDUNG
Apotek K 24 Bondowoso|BONDOWOSO
Apotek Ngasinan|KENDAL
Apotek Puspita(Pmi)|JAKARTA TIMUR
Apotek Assyfa Farma 2|PURWAKARTA
Apotek Semesta Group 8|JEMBER
Apotek Cuwik|PACITAN
Apotek Girimarto Farma|WONOGIRI
Apotek Vina|TEBO
Apotek Jakarta II|LABUHANBATU
Apotek Al Fatihah|BENGKULU
Apotek Tiki Farma|MAKASSAR
Apotek Hedron|SEMARANG
Apotek Dewi Sartika|DELI SERDANG
Apotek Bergas Jaya|PURWOREJO
Apotek Indria Farma|KLATEN
Apotek Ghan Farma Sakti|PALEMBANG
Apotek Alba Medika Ngaglik|SURABAYA
Apotek Pondok Gede Agung|BEKASI
Apotek Surya Prima|BENGKULU UTARA
Apotek Nias Medika|JAKARTA UTARA
Apotek Maju Sehat Farma|BANDUNG
Apotek INA'U'|MAKASSAR
Apotek Victory Kelapa Gading|JAKARTA UTARA
Apotek Guardian Sidoarjo Town Square|SIDOARJO
Apotek Raflya|CIREBON
Apotek Mura Farma|LUBUKLINGGAU
Apotek Shinta|BATANG
Apotek Banjarnegara|BANJARNEGARA
Apotek Kota Baja|CILEGON
Apotek Medicalis|JAKARTA BARAT
Apotek Dewa|BANYU ASIN
Apotek Jf Farma|BLORA
Apotek Haurkuning|KUNINGAN
Apotek Amanda Cahya Kusuma|BOYOLALI
Apotek Kayuapak Farma|SUKOHARJO
Apotek Debora Farma|MANADO
Apotek Khanza Medika|MAKASSAR
Apotek Rakyat Endek Kite|PAGAR ALAM
Apotek Roxy Galaxy|BEKASI
Apotek Sumber Sari|BANDUNG
Apotek Narayan|LAMPUNG SELATAN
Apotek Bima Sehat|BLORA
Apotek Anugrah Berkoh|BANYUMAS
Apotek Muslimah|PALEMBANG
Apotek Maju Makmur 2|JAYAWIJAYA
Apotek Acun|JAKARTA BARAT
Apotek Sri Menganti|SURABAYA
Apotek Taufiq|BANJAR
Apotek Gria Prima Farma|JAKARTA SELATAN
Apotek Hawai Farma|JAYAPURA
Apotek Kimia Farma 391 Kemakmuran|DEPOK
Apotek Sekar|TASIKMALAYA
Apotek Setia Jaya|DELI SERDANG
Apotek Rico|ACEH SINGKIL
Apotek Kimia Farma Basuki Rahmat|BANYUWANGI
Apotek Guardian F Bali Collection|BADUNG
Apotek Adi Jaya|JAKARTA BARAT
Apotek Ibunda|MEDAN
Apotek Halmahera|KLATEN
Apotek Ben Waras 19|DEPOK
Apotek K 24 Citarum|SEMARANG
Apotek Putra Tanjung|ACEH BESAR
Apotek Griya Farma Sarimanah|BANDUNG
Apotek Paten Farma|BENGKULU
Apotek Ating 9|BANDUNG
Apotek Muazara|BONDOWOSO
Apotek Bella 3|SURABAYA
Apotek Belva|TANGERANG
Apotek Century Pademangan Iii|JAKARTA UTARA
Apotek Adora|BANDUNG
Apotek Generik Pangkalan Asem|JAKARTA PUSAT
Apotek Q   Mango|JAKARTA SELATAN
Apotek Aksara Farma|MEDAN
Apotek Madinah Brilliant|TULUNGAGUNG
Apotek Mutiara Sifa|SUKOHARJO
Apotek Larasati|KARAWANG
Apotek Shinta Farma|DEPOK
Apotek Berkat 4|TANGERANG
Apotek Tridatu|LUBUKLINGGAU
Apotek Plus|JAMBI
Apotek Gefyzi|KAMPAR
Apotek Sedyo Mulyo|BONDOWOSO
Apotek Papandayan|BANDUNG
Apotek Jati Kramat|BEKASI
Apotek K 24 Klender|JAKARTA TIMUR
Apotek Solata|MATARAM
Apotek Kekal Abadi Farma|MAKASSAR
Apotek Leuwiliang|BOGOR
"""Apotek As Syifa"""""""|
Apotek Bungo Kerinci|BUNGO
Apotek Century Nagoya Hill|BATAM
Apotek Keyko Farma|OGAN KOMERING ULU TIMUR
Apotek Mugi Mantun|TEGAL
Apotek Aliya Farma|TASIKMALAYA
Apotek Zaki Farma|PRINGSEWU
Apotek Landong As Syifa|BREBES
Apotek Farmarinda|GROBOGAN
Apotek Bunga Bakung|SAMARINDA
Apotek Silviana|SURABAYA
Apotek Boston Cilandak|JAKARTA SELATAN
Apotek Kembangan|JAKARTA BARAT
Apotek Dalung Permai|BADUNG
Apotek B O Y|SURABAYA
Apotek Husada Prima|MALANG
Apotek Century Atrium|JAKARTA PUSAT
Apotek Kabawo Farma|MUNA
Apotek Mitra Gama|BEKASI
Apotek Hayan Farma|GORONTALO UTARA
Apotek Sambilan|LAMPUNG SELATAN
Apotek Fhanda Farma|NGANJUK
Apotek Leandra|GRESIK
Apotek Rosmala|SIDOARJO
Apotek Rhema Farma|DENPASAR
Apotek Kembang Arum|SEMARANG
Apotek Mayang Sehat|
Apotek Komplit Farma|KOLAKA
Apotek Avila Farma|NGADA
Apotek Shanti Farma|TABANAN
Apotek Rayhan|JAKARTA UTARA
Apotek Abc|BANDUNG
Apotek Parinduri|MEDAN
Apotek Affa Farma|PEKALONGAN
Apotek Lativa|JEMBER
Apotek Ugih|BANDUNG
Apotek Menteng Square|JAKARTA PUSAT
Apotek B.J|JAKARTA BARAT
Apotek Astari|BANYUMAS
Apotek G E M A|JAKARTA BARAT
Apotek Klinik Anak Ku|TANGERANG SELATAN
Apotek Wanasaba Farma|CIREBON
Apotek Golong 5|PONOROGO
Apotek K 24 Bangkalan|BANGKALAN
Apotek Gucimas Farma|JAKARTA BARAT
Apotek Sanbera|BONTANG
Apotek Lhay|BENGKULU
Apotek Wesabbe|MAKASSAR
Apotek Sehat Jaya Ngantru|GROBOGAN
Apotek Rakyat Tegal Arum|TUAL
Apotek Sunrise|LOMBOK UTARA
Apotek Aulia 2|KLATEN
Apotek Karya Kasih|CIMAHI
Apotek Y(Depan IGD RSUD Abe)|JAYAPURA
Apotek Fadhilla Husada|SRAGEN
Apotek Arum Usada Farma Cabang Ngunut|TULUNGAGUNG
Apotek Kamila Farma|SUKOHARJO
Apotek Getas Rejo|GROBOGAN
Apotek Sri Kandi Farma|BANTAENG
Apotek Vella Farma|KAMPAR
Apotek Sentral Medika|SIDOARJO
Apotek Generik Kaliabang Ceger|BEKASI
Apotek Putra Waspada|TULUNGAGUNG
Apotek Wika Farma|SIDOARJO
Apotek Mahardika Jaya|MALANG
Apotek Terang|DELI SERDANG
Apotek Sinkaka Farma|SINGKAWANG
Apotek Alifia|BEKASI
Apotek Daliya|CIANJUR
Apotek Restu Medika|BANDUNG
Apotek Fedhista Farma|SEMARANG
Apotek Griyo Sehat|KEDIRI
Apotek DY Medika|PEKANBARU
Apotek Sacharosa Medicine Service|SURABAYA
Apotek Asy Syifa Petir|SERANG
Apotek Rome 06|PROBOLINGGO
Apotek Erfa Farma|DEMAK
Apotek Kimia Farma Pelabuhan|MAKASSAR
Apotek Rona Farma|MADIUN
Apotek Your Pharmacy Mayapada Tower Ii|JAKARTA SELATAN
Apotek Mitra Saudara|BANDUNG
Apotek Century Mall Alam Sutera|TANGERANG
Apotek Arsita Ratu|JAYAWIJAYA
Apotek Nurul Aini|MALUKU TENGAH
Apotek Pal Sidorejo|MALANG
Apotek Scotia|BEKASI
Apotek Kf 210|MALANG
Apotek Kemandoran|JAKARTA SELATAN
Apotek Sidomulyo Wu|LAMPUNG SELATAN
Apotek Sunda|BANDUNG
Apotek Afini|BOGOR
Apotek Sahabat Kita|BANDUNG
Apotek Suyudono|SEMARANG
Apotek Ganda Jaya|MEDAN
Apotek Griya Farma Antapani|BANDUNG
Apotek Trisula Farma|SURABAYA
Apotek Tan's Farma|YOGYAKARTA
Apotek Enggal|BANDAR LAMPUNG
Apotek Wahain|BANDA ACEH
Apotek Sumarni|PRINGSEWU
Apotek MT. Haryono|TANGERANG
Apotek Kiki Medika|DENPASAR
Apotek Ar Raudah Farma|JAKARTA SELATAN
Apotek Kusuma Medika|JAKARTA TIMUR
Apotek Barokah|PEKANBARU
Apotek Mujur|JAKARTA BARAT
Apotek Hareguna|JAKARTA TIMUR
Apotek Ash Shofaa|KARAWANG
Apotek San'A|BANJAR
Apotek Datuk Sulaeman 1|PALOPO
Apotek Belitung Farma|BANJARMASIN
Apotek Barata Jaya|SURABAYA
Apotek Parit Culum Farma|TANJUNG JABUNG T
Apotek Az   Zahra|JEPARA
Apotek The Medicine Shoppe Tomang|JAKARTA BARAT
Apotek Tempel|SLEMAN
Apotek Sasqia Farma|MAKASSAR
Apotek Guardian Samarinda Square|SAMARINDA
Apotek Warakas|JAKARTA UTARA
Apotek Marsilv|GORONTALO
Apotek Nawi Husin|HULU SUNGAI UTARA
Apotek Sion|TULANG BAWANG BARAT
Apotek Karya Farma|MEDAN
Apotek Hasni|PEKANBARU
Apotek D I N A|SURABAYA
Apotek Permata Bunga|SUMEDANG
Apotek Argha Farma|BATU BARA
Apotek Sehat Mulya|PALEMBANG
Apotek Risa Rafana,|LOMBOK TENGAH
Apotek Wonorejo|KARANGANYAR
Apotek Bamara Medika|BANGKALAN
Apotek Najemah Farma|KOLAKA UTARA
Apotek Biscare|SURABAYA
Apotek Bogowonto|PURWOREJO
Apotek Muda|
Apotek Nirmala Semen Gresik|SURABAYA
Apotek Jaya Abadi (Ar)|JAKARTA BARAT
Apotek Al Ghifari|HULU SUNGAI UTARA
Apotek Khanti|JAKARTA UTARA
Apotek Tanjung Palas|BALANGAN
Apotek P E S O N A|SURABAYA
Apotek Bina Husada|SEMARANG
Apotek Rs Agung|JAKARTA SELATAN
Apotek Mitra Keluarga Sehat|BANJARMASIN
Apotek Palem Asri|SIDOARJO
Apotek Nurul Ihsan|MADIUN
Apotek Sako Jaya|PALEMBANG
Apotek Global|MEDAN
Apotek Denta Tama|SRAGEN
Apotek Eradica Farma 2|SUBANG
Apotek Belle|CILEGON
Apotek Ngampel|KENDAL
Apotek Farma Sehat|YOGYAKARTA
Apotek Damai Farma|BALIKPAPAN
Apotek Shyfan|BANDUNG
Apotek K 24 Mayor Oking|BOGOR
Apotek Karangjati Farma|NGAWI
Apotek Mirna Farma|MALUKU TENGAH
Apotek Zhan Farma|BALANGAN
Apotek Vitka Farma|BATAM
Apotek Duta Berdikari|ASAHAN
Apotek Mirawan|SIGI
Apotek Kimia Farma Kuta|BADUNG
Apotek Putty|PONTIANAK
Apotek Naga Farma|BOGOR
Apotek Esha Farma|BEKASI
Apotek Hidup Sehat|MALANG
Apotek Ngudi Rahayu|WONOGIRI
Apotek Arisa|REMBANG
Apotek Natasha 1|SURABAYA
Apotek Simpang Sekip|PALEMBANG
Apotek Ken Waras|PEMALANG
Apotek Bakti Kesuma|SURABAYA
Apotek Mulya Farma (Apt.Profesi)|JAKARTA TIMUR
Apotek Prima Medicare|JAKARTA BARAT
Apotek Guardian Airport Hub|TANGERANG
Apotek Metro Medika Seminung|TULANGBAWANG
Apotek Lhokseumawe|LHOKSEUMAWE
Apotek Penabur|JAKARTA BARAT
Apotek Ozil Farma|BOMBANA
Apotek Elim Abepura|JAYAPURA
Apotek Panican|PURBALINGGA
Apotek Cahaya Farma|PIDIE
Apotek Margawangi|BANDUNG
Apotek Primad 2|CIMAHI
Apotek M Tri Farma|PALOPO
Apotek Fbi|SAMPANG
Apotek Lodoyo|BLITAR
Apotek Setia Budi I|GORONTALO
Apotek Natasha 3|SURABAYA
Apotek Jenggawah|JEMBER
Apotek Kimia Farma Cinere|DEPOK
Apotek Alam 3|LAMONGAN
Apotek Sumber Alam|KAPUAS
Apotek Century Emporium Pluit|JAKARTA UTARA
Apotek Nurbunda|TEGAL
Apotek Simpang Puri|JAKARTA BARAT
Apotek Wattson|BOGOR
Apotek Kimia Farma No. 350|JAKARTA UTARA
Apotek Guardian Mall Alam Sutera|TANGERANG
Apotek Bidadari|BINJAI
Apotek Kasih Anugerah|BATAM
Apotek Waringin Mulyo|TEMANGGUNG
Apotek Century Menara Dea|JAKARTA SELATAN
Apotek Pasu Pasu|MIMIKA
Apotek Guardian Green Bay Pluit|JAKARTA UTARA
Apotek Bhinneka Husada|TANGERANG SELATAN
Apotek Kayla|SAMARINDA
Apotek Cahaya Medica|LOMBOK TENGAH
Apotek Pucang Adi|SURABAYA
Apotek Darrus Asta|PESAWARAN
Apotek Delta|BATAM
Apotek Galenus|GOWA
Apotek Cepogo|BOYOLALI
Apotek Lautan Berkat|JAKARTA BARAT
Apotek Cininta|SEMARANG
Apotek Family Medica|SEMARANG
Apotek Rizkitta Farma|JOMBANG
Apotek Sumoroto|PONOROGO
Apotek Viva Generik Sawah Besar|SEMARANG
Apotek Lentera Farma|HALMAHERA UTARA
Apotek Monzi|BANJARMASIN
Apotek Penarukan|MALANG
Apotek Sabri Farma|BARRU
Apotek Pachealth@The Plaza|JAKARTA PUSAT
Apotek Mata|CIREBON
Apotek Zasa|BANDUNG
Apotek Viva Generik Erlangga|PASURUAN
Apotek Nashwah|ACEH SELATAN
Apotek Maleo|SORONG
Apotek Berkat Baru|SEMARANG
Apotek Adhita|BANYUWANGI
Apotek Kimia Farma Fajar Sehat|BANYUMAS
Apotek Kimia Farma Pci|CILEGON
Apotek Ronggolawe|TUBAN
Apotek Sumber Jaya Farma|SUBANG
Apotek Century Plaza Pondok Gede|BEKASI
Apotek Inti Farma|JAKARTA SELATAN
Apotek Seger Saras|SURAKARTA
Apotek Mandiri (Cv. 1 1 Sukses)|MATARAM
Apotek Cempaka Med. Center|JAKARTA PUSAT
Apotek Pelengkap|JOMBANG
Apotek Dokter Junaidi|KAMPAR
Apotek Inggit Farma|MAKASSAR
Apotek Medyadani|JAYAPURA
Apotek Mira|JAKARTA PUSAT
Apotek Neo Farma|TEGAL
Apotek Mutia|BANDA ACEH
Apotek Griya Usada|DENPASAR
Apotek Sri Rezeki|DUMAI
Apotek Arsel|KOTAWARINGIN BARAT
Apotek K 24 Pondok Kopi|JAKARTA TIMUR
Apotek Zayan Farma|SUKABUMI
Apotek Jaya Afiyah|SUMENEP
Apotek Ketintang Husada|SURABAYA
Apotek Srikaton|SEMARANG
Apotek Tambak Bayan|PONOROGO
Apotek Pulau Intan|DELI SERDANG
Apotek Sinar Mutiara|JAKARTA BARAT
Apotek Tridho Farma|POSO
Apotek Rizky Sejahtera|BANGKA TENGAH
Apotek Mustadjab|JAKARTA TIMUR
Apotek Merdeka Timur|PONTIANAK
Apotek Esthi|SUKOHARJO
Apotek Sariwangi|BANDUNG BARAT
Apotek Farmasi 89|BANDAR LAMPUNG
Apotek Avera|BOJONEGORO
Apotek Amira Farma|BREBES
Apotek Dukun Farma|GRESIK
Apotek Bunda Internasional Clinic|JAKARTA PUSAT
Apotek Depok Sejahtera|SEMARANG
Apotek Generik Gading Jaya|JAKARTA TIMUR
Apotek Gowok|SLEMAN
Apotek Ria Farma|MEDAN
Apotek Wonokusumo|SURABAYA
Apotek Halmahera2|KLATEN
Apotek Krp 77|PALU
Apotek Melawai 19|DEPOK
Apotek Mitrasana Wibawa Mukti|BEKASI
Apotek Bendilwungu|TULUNGAGUNG
Apotek Amin Putra|MOJOKERTO
Apotek The Family Institute|BOGOR
Apotek Kimia Farma Jakal|SLEMAN
Apotek Pro Tha Farma|SIDOARJO
Apotek Kimia Farma Wolter Monginsidi|BANDAR LAMPUNG
Apotek Toni Kota|PARIGI MOUTONG
Apotek K 24 Peta Barat|JAKARTA BARAT
Apotek Riamin Farma|SUKABUMI
Apotek Surya Nugroho|KARANGANYAR
Apotek Netral 9|MADIUN
Apotek A38|JAKARTA PUSAT
Apotek Klinik Grace|JAYAWIJAYA
Apotek Generik Cireundeu Raya|TANGERANG SELATAN
Apotek Jaya Sehat|BANGKA TENGAH
"""Apotek Tujuh Tujuh """"77"""""""|
Apotek Setya Farma|MAJALENGKA
Apotek Griya Pesona|MADIUN
Apotek Mako Farma|MEDAN
Apotek Sugih|KARAWANG
Apotek Tazkia|LANGSA
Apotek Rakyat Aswad|OGAN ILIR
Apotek Century Legenda Wisata|BOGOR
Apotek Diva Mulia|BLITAR
Apotek Bio Prima|TEGAL
Apotek Depo Bpu Pertamina|JAKARTA PUSAT
Apotek Menara|PEKANBARU
Apotek Surabaya|PEKANBARU
Apotek Falisha|PRABUMULIH
Apotek Amira|BOGOR
Apotek L Medika|REMBANG
Apotek Nacara|JAKARTA UTARA
Apotek Vnv Pharmacy|BEKASI
Apotek K24 Lt.Sutopo|TANGERANG SELATAN
Apotek Fiozel|KAMPAR
Apotek Fajrina Farma|GRESIK
Apotek Aceh Eye Center|BANDA ACEH
Apotek Tri Barata Farma|KENDARI
Apotek Rezky Bengalon|KUTAI TIMUR
Apotek Citra Farma D|MEDAN
Apotek Darussyifa|SUKOHARJO
